player_id,player_name,world_cup_team,squad_position,reported_minutes,benchmark_precheck,window,expected_official_fixtures,processed_fixture_endpoints,fixture_endpoint_coverage,missing_fixture_endpoints,detailed_appearance_fixtures,detailed_minutes,aggregate_reported_minutes,minute_reconciliation_ratio_raw,minute_reconciliation_ratio_clipped,coverage_pass_80pct,denominator_note
5,M. Akanji,Switzerland,Defender,4981.0,True,annual_current,98,98,1.0,0,58,4307.0,4981.0,0.8646858060630396,0.8646858060630396,True,provider aggregate minutes plus exact fixture inventory
5,M. Akanji,Switzerland,Defender,4981.0,True,pre_world_cup,96,96,1.0,0,56,3954.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
9,A. Hakimi,Morocco,Defender,4466.0,True,annual_current,65,65,1.0,0,46,3641.0,4466.0,0.8152709359605911,0.8152709359605911,True,provider aggregate minutes plus exact fixture inventory
9,A. Hakimi,Morocco,Defender,4466.0,True,pre_world_cup,66,66,1.0,0,47,3664.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
17,C. Pulisic,USA,Midfielder,2607.0,True,annual_current,47,47,1.0,0,39,2030.0,2607.0,0.7786728039892596,0.7786728039892596,False,provider aggregate minutes plus exact fixture inventory
17,C. Pulisic,USA,Midfielder,2607.0,True,pre_world_cup,42,42,1.0,0,35,1806.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
20,A. Witsel,Belgium,Midfielder,2678.0,True,annual_current,44,44,1.0,0,39,2564.0,2678.0,0.9574309185959672,0.9574309185959672,True,provider aggregate minutes plus exact fixture inventory
20,A. Witsel,Belgium,Midfielder,2678.0,True,pre_world_cup,38,38,1.0,0,33,2533.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
30,S. Arias,Colombia,Defender,4115.0,True,annual_current,54,54,1.0,0,50,2709.0,4115.0,0.6583232077764277,0.6583232077764277,False,provider aggregate minutes plus exact fixture inventory
30,S. Arias,Colombia,Defender,4115.0,True,pre_world_cup,53,53,1.0,0,48,2736.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
31,J. Giménez,Uruguay,Defender,2569.0,True,annual_current,66,66,1.0,0,38,1537.0,2569.0,0.5982872713117945,0.5982872713117945,False,provider aggregate minutes plus exact fixture inventory
31,J. Giménez,Uruguay,Defender,2569.0,True,pre_world_cup,63,63,1.0,0,35,1537.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
33,L. Hernández,France,Defender,2291.0,True,annual_current,63,63,1.0,0,60,2084.0,2291.0,0.909646442601484,0.909646442601484,True,provider aggregate minutes plus exact fixture inventory
33,L. Hernández,France,Defender,2291.0,True,pre_world_cup,63,63,1.0,0,58,2182.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
44,Rodri,Spain,Midfielder,3076.0,True,annual_current,67,67,1.0,0,42,2811.0,3076.0,0.913849154746424,0.913849154746424,True,provider aggregate minutes plus exact fixture inventory
44,Rodri,Spain,Midfielder,3076.0,True,pre_world_cup,64,64,1.0,0,39,2356.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
49,T. Partey,Ghana,Midfielder,2722.0,True,annual_current,53,53,1.0,0,41,1602.0,2722.0,0.588537839823659,0.588537839823659,False,provider aggregate minutes plus exact fixture inventory
49,T. Partey,Ghana,Midfielder,2722.0,True,pre_world_cup,49,49,1.0,0,38,1332.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
69,B. Mechele,Belgium,Defender,5448.0,True,annual_current,60,60,1.0,0,60,5270.0,5448.0,0.9673274596182084,0.9673274596182084,True,provider aggregate minutes plus exact fixture inventory
69,B. Mechele,Belgium,Defender,5448.0,True,pre_world_cup,54,54,1.0,0,54,4700.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
74,S. Amrabat,Morocco,Midfielder,2721.0,True,annual_current,101,101,1.0,0,45,2369.0,2721.0,0.870635795663359,0.870635795663359,True,provider aggregate minutes plus exact fixture inventory
74,S. Amrabat,Morocco,Midfielder,2721.0,True,pre_world_cup,95,95,1.0,0,39,2224.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
78,H. Vanaken,Belgium,Midfielder,5007.0,True,annual_current,60,60,1.0,0,59,4957.0,5007.0,0.9900139804274016,0.9900139804274016,True,provider aggregate minutes plus exact fixture inventory
78,H. Vanaken,Belgium,Midfielder,5007.0,True,pre_world_cup,54,54,1.0,0,53,4633.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
81,K. Diatta,Senegal,Defender,2517.0,True,annual_current,58,58,1.0,0,33,2180.0,2517.0,0.8661104489471593,0.8661104489471593,True,provider aggregate minutes plus exact fixture inventory
81,K. Diatta,Senegal,Defender,2517.0,True,pre_world_cup,54,54,1.0,0,29,1790.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
130,Nélson Semedo,Portugal,Defender,3235.0,True,annual_current,58,58,1.0,0,45,3145.0,3235.0,0.9721792890262752,0.9721792890262752,True,provider aggregate minutes plus exact fixture inventory
130,Nélson Semedo,Portugal,Defender,3235.0,True,pre_world_cup,53,53,1.0,0,40,3021.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
153,O. Dembélé,France,Midfielder,3192.0,True,annual_current,63,63,1.0,0,49,2764.0,3192.0,0.8659147869674185,0.8659147869674185,True,provider aggregate minutes plus exact fixture inventory
153,O. Dembélé,France,Midfielder,3192.0,True,pre_world_cup,63,63,1.0,0,46,2409.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
154,L. Messi,Argentina,Attacker,7195.0,True,annual_current,52,52,1.0,0,44,3834.0,7195.0,0.5328700486448923,0.5328700486448923,False,provider aggregate minutes plus exact fixture inventory
154,L. Messi,Argentina,Attacker,7195.0,True,pre_world_cup,54,52,0.9629629629629628,2,44,3832.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
168,D. Sánchez,Colombia,Defender,5466.0,True,annual_current,60,60,1.0,0,53,4228.0,5466.0,0.7735089645078668,0.7735089645078668,False,provider aggregate minutes plus exact fixture inventory
168,D. Sánchez,Colombia,Defender,5466.0,True,pre_world_cup,56,56,1.0,0,49,3844.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator
184,H. Kane,England,Attacker,5228.0,True,annual_current,62,62,1.0,0,60,4702.0,5228.0,0.8993879112471308,0.8993879112471308,True,provider aggregate minutes plus exact fixture inventory
