player_id,player_name,world_cup_team,squad_position,resolved_role,role_stability,role_observations,role_distribution,reported_minutes,orientation_mapping,fixture_endpoint_coverage,coverage_pass_80pct,stable_role_60pct,scientific_role_eligible
5,M. Akanji,Switzerland,Defender,RB,0.8333333333333334,48,RB:40 | LCB:7 | RCB:1,4981.0,low_is_left,1.0,True,True,True
9,A. Hakimi,Morocco,Defender,RB,1.0,45,RB:45,4466.0,low_is_left,1.0,True,True,True
9,Achraf Hakimi,Morocco,Defender,RB,1.0,1,RB:1,4466.0,low_is_left,1.0,True,True,True
17,C. Pulisic,USA,Midfielder,RW,0.5217391304347826,23,RW:12 | ST:9 | LW:2,2607.0,low_is_left,1.0,False,False,False
20,A. Witsel,Belgium,Midfielder,AM,0.5263157894736842,19,AM:10 | CM:9,2678.0,low_is_left,0.6818181818181818,False,False,False
30,S. Arias,Colombia,Defender,RB,1.0,2,RB:2,4115.0,low_is_left,0.1481481481481481,False,True,False
31,J. M. Gimenez,Uruguay,Defender,RCB,0.75,16,RCB:12 | LCB:4,2569.0,low_is_left,1.0,False,True,False
33,L. Hernandez,France,Defender,LB,0.8095238095238095,21,LB:17 | RB:3 | LCB:1,2291.0,low_is_left,1.0,True,True,True
33,L. Hernández,France,Defender,LB,1.0,1,LB:1,2291.0,low_is_left,1.0,True,True,True
44,Rodri,Spain,Midfielder,DM,0.8235294117647058,34,DM:28 | CM:6,3076.0,low_is_left,1.0,True,True,True
49,T. Partey,Ghana,Midfielder,CM,0.6666666666666666,15,CM:10 | DM:3 | AM:2,2722.0,low_is_left,1.0,False,True,False
69,B. Mechele,Belgium,Defender,RCB,0.7105263157894737,38,RCB:27 | LCB:8 | RB:3,5448.0,low_is_left,0.6333333333333333,False,True,False
74,S. Amrabat,Morocco,Midfielder,DM,0.5555555555555556,27,DM:15 | CM:9 | AM:3,2721.0,low_is_left,0.9702970297029704,True,False,False
78,H. Vanaken,Belgium,Midfielder,AM,0.9090909090909091,33,AM:30 | DM:3,5007.0,low_is_left,0.6333333333333333,False,True,False
81,K. Diatta,Senegal,Defender,RB,1.0,22,RB:22,2517.0,low_is_left,1.0,True,True,True
130,N. Semedo,Portugal,Defender,RB,0.9696969696969697,33,RB:32 | LB:1,3235.0,low_is_left,0.913793103448276,True,True,True
153,O. Dembele,France,Midfielder,ST,0.6666666666666666,30,ST:20 | RW:10,3192.0,low_is_left,1.0,True,True,True
153,O. Dembélé,France,Midfielder,ST,1.0,2,ST:2,3192.0,low_is_left,1.0,True,True,True
153,Ousmane Dembélé,France,Midfielder,RW,0.5,2,RW:1 | ST:1,3192.0,low_is_left,1.0,True,False,False
154,L. Messi,Argentina,Attacker,RW,1.0,11,RW:11,7195.0,low_is_left,0.2115384615384615,False,True,False
168,D. Sanchez,Colombia,Defender,RB,0.64,50,RB:32 | RCB:17 | LCB:1,5466.0,low_is_left,1.0,False,True,False
184,H. Kane,England,Attacker,RW,0.9444444444444444,54,RW:51 | ST:3,5228.0,low_is_left,1.0,True,True,True
186,Son Heung-Min,South Korea,Attacker,RW,1.0,2,RW:2,4495.0,low_is_left,0.1162790697674418,False,True,False
207,I. Perisic,Croatia,Defender,LCB,0.45,40,LCB:18 | LB:12 | RB:10,3578.0,low_is_left,1.0,True,False,False
