top_n,scenario,synthetic_coordination_factor,real_coordination_factor,simulations,shared_tempo_sigma,synthetic_win_probability,draw_probability,real_win_probability,mean_total_goals
10,equal_full_coordination,1.0,1.0,1500,0.19999999999999998,0.328,0.25,0.422,2.896
10,equal_moderate_coordination,0.95,0.95,1500,0.19999999999999998,0.2946666666666667,0.228,0.47733333333333333,2.9926666666666666
10,synthetic_coordination_penalty,0.9,1.0,1500,0.19999999999999998,0.31266666666666665,0.246,0.44133333333333336,2.892
10,real_xi_coordination_penalty,1.0,0.9,1500,0.19999999999999998,0.354,0.24333333333333335,0.4026666666666667,2.928
20,equal_full_coordination,1.0,1.0,1500,0.19999999999999998,0.27466666666666667,0.26,0.4653333333333333,3.014
20,equal_moderate_coordination,0.95,0.95,1500,0.19999999999999998,0.282,0.24733333333333332,0.4706666666666667,2.8546666666666667
20,synthetic_coordination_penalty,0.9,1.0,1500,0.19999999999999998,0.25666666666666665,0.2633333333333333,0.48,2.9166666666666665
20,real_xi_coordination_penalty,1.0,0.9,1500,0.19999999999999998,0.28933333333333333,0.25466666666666665,0.456,2.8273333333333333
30,equal_full_coordination,1.0,1.0,1500,0.19999999999999998,0.26266666666666666,0.256,0.48133333333333334,2.9606666666666666
30,equal_moderate_coordination,0.95,0.95,1500,0.19999999999999998,0.2653333333333333,0.246,0.4886666666666667,2.9806666666666666
30,synthetic_coordination_penalty,0.9,1.0,1500,0.19999999999999998,0.24733333333333332,0.23133333333333334,0.5213333333333333,2.952
30,real_xi_coordination_penalty,1.0,0.9,1500,0.19999999999999998,0.268,0.272,0.46,2.842
