top_n,scenario,synthetic_coordination_factor,real_coordination_factor,simulations,shared_tempo_sigma,synthetic_win_probability,draw_probability,real_win_probability,mean_total_goals
10,equal_full_coordination,1.0,1.0,1500,0.1999999999999999,0.3286666666666666,0.2493333333333333,0.422,2.8986666666666667
10,equal_moderate_coordination,0.95,0.95,1500,0.1999999999999999,0.2946666666666667,0.2273333333333333,0.478,2.990666666666667
10,synthetic_coordination_penalty,0.9,1.0,1500,0.1999999999999999,0.3126666666666666,0.246,0.4413333333333333,2.892
10,real_xi_coordination_penalty,1.0,0.9,1500,0.1999999999999999,0.3533333333333333,0.244,0.4026666666666667,2.9273333333333333
20,equal_full_coordination,1.0,1.0,1500,0.1999999999999999,0.2746666666666666,0.26,0.4653333333333333,3.014
20,equal_moderate_coordination,0.95,0.95,1500,0.1999999999999999,0.282,0.2473333333333333,0.4706666666666667,2.853333333333333
20,synthetic_coordination_penalty,0.9,1.0,1500,0.1999999999999999,0.2566666666666666,0.2633333333333333,0.48,2.916
20,real_xi_coordination_penalty,1.0,0.9,1500,0.1999999999999999,0.2893333333333333,0.2546666666666666,0.456,2.8266666666666667
30,equal_full_coordination,1.0,1.0,1500,0.1999999999999999,0.2626666666666666,0.256,0.4813333333333333,2.9606666666666666
30,equal_moderate_coordination,0.95,0.95,1500,0.1999999999999999,0.2653333333333333,0.246,0.4886666666666667,2.981333333333333
30,synthetic_coordination_penalty,0.9,1.0,1500,0.1999999999999999,0.2473333333333333,0.2313333333333333,0.5213333333333333,2.9526666666666666
30,real_xi_coordination_penalty,1.0,0.9,1500,0.1999999999999999,0.268,0.272,0.46,2.841333333333333
