player_id,name,role,minutes,overall,build_up,progression,creation,finishing,defending,duels,retention,goalkeeping,uncertainty,synthetic
182718,Joan García,GK,4049.0,0.8084820180367914,0.38427758066257584,0.30340135004289503,0.3093455410923396,0.31598439770607256,0.22035249713723845,0.17843607987655827,0.8787396298402178,0.9996646498695336,0.07334238850819447,False
30776,Cristian Romero,CB1,3294.0,0.728070669427543,0.6448623276364277,0.41224686664987753,0.4322370706140178,0.5440619473573057,0.7341769152473486,0.7384936907511436,0.7964957631405896,0.6356845223445583,0.08131433980500301,False
69,Brandon Mechele,CB2,5023.0,0.7088856651360905,0.742309492810073,0.36129568671889145,0.38226006547515734,0.5003576021388783,0.6743801969459045,0.6306581785783842,0.8268378354056493,0.6823423555436694,0.0658487217104921,False
271539,Jaouen Hadjam,FB1,1844.0,0.7432506040194522,0.576719521201744,0.847669724341225,0.6469932739591201,0.45383237373682545,0.7311580057020759,0.8912858344321211,0.516239306164671,0.3714510166723446,0.1086797121198994,False
263482,Nuno Mendes,FB2,3391.0,0.7139099195170379,0.7358021190325051,0.7946269537880689,0.6998581389232513,0.6152084503542549,0.5814600815234576,0.7505307720655835,0.6148365391036072,0.6067999687284641,0.08014289803210126,False
138908,Elliot Anderson,DM,4793.0,0.7207960233966842,0.723061342135564,0.7017484569315093,0.6219163183723483,0.4501464194440162,0.7272505614421089,0.8656562740596077,0.5909505166987779,0.5375981824338144,0.06741013908648066,False
133609,Pedri,CM,3539.0,0.7516373053986038,0.866204263397454,0.7524470279966149,0.8065769990524913,0.49742770985427565,0.6290614139134818,0.6788083983292771,0.6814423692510756,0.6552059743610495,0.07844922479095855,False
19617,Michael Olise,AM,4569.0,0.8127695748134711,0.7060921520824321,0.9002648258110901,0.9061744671438813,0.8402687667929226,0.3739079217599073,0.7112328562509351,0.5276895901871911,0.5027440978198368,0.06904279411760973,False
513776,Yan Diomande,W1,3400.0,0.787912775659878,0.5386747930702227,0.9352958438627567,0.7600789549760831,0.7422206030460347,0.45802286904663403,0.7960879468646676,0.5931409642949412,0.506288093430212,0.08003675626198987,False
583,João Félix,W2,3478.0,0.7681651558781574,0.5014296833866488,0.820698944313816,0.8792749546877899,0.8860393696422814,0.3486697202718382,0.5842449220446067,0.44922264630217373,0.4123405915962318,0.07913418772234278,False
154,Lionel Messi,ST,3508.0,0.8252278463537296,0.6164682836291508,0.908948337995203,0.9486220184545321,0.9726321776283702,0.30960505066562044,0.5987419610748451,0.4756263744986169,0.4136897582349305,0.07879508808612012,False
